combinacion,prior,caso,log10_LR_total,posterior_completa,posterior_sin_genetica
A1+B1+G1,demografica,H0,0,2.155297945042074e-32,3.787513732194467e-4
A1+B1+G1,demografica,C1,0.6134999999999999,7.966174661990863e-32,0.0013998990717156313
A1+B1+G1,demografica,C2,31.6251,1,0.5557083228539761
A1+B1+G1,demografica,C3,0.01649999999999996,1.3432553074609088e-32,8.974400905730978e-5
A1+B1+G1,demografica,C4,14.264899999999999,3.966498686824305e-18,0.43979897829897596
A1+B1+G1,demografica,C5,4.1386,1.1862256377973343e-28,0.0026243043930556393
A2+B1+G1,demografica,H0,0,2.894725019751021e-32,5.065576041965661e-4
A2+B1+G1,demografica,C1,0.8344,1.7793026447239199e-31,0.0031136611550394797
A2+B1+G1,demografica,C2,31.497,1,0.5533775347949962
A2+B1+G1,demografica,C3,0.23739999999999994,3.000257742914373e-32,1.9960898649414846e-4
A2+B1+G1,demografica,C4,14.1368,3.966498686824305e-18,0.4379543447658551
A2+B1+G1,demografica,C5,4.2789,2.200732748772805e-28,0.004848292693418552
A1+B2+G1,demografica,H0,0,6.998537835722165e-32,0.0011366416088813855
A1+B2+G1,demografica,C1,0.5233,2.1015988604041748e-31,0.003413233972559638
A1+B2+G1,demografica,C2,31.113599999999998,1,0.5135896171107238
A1+B2+G1,demografica,C3,0.15660000000000002,6.022247017647709e-32,3.718560061638077e-4
A1+B2+G1,demografica,C4,13.8218,4.643092275974515e-18,0.4757990276346383
A1+B2+G1,demografica,C5,3.9974,2.782705882960861e-28,0.00568962366703311
A2+B2+G1,demografica,H0,0,9.399555463476057e-32,0.0015115912634591285
A2+B2+G1,demografica,C1,0.7442,4.694072838131028e-31,0.007548781982010517
A2+B2+G1,demografica,C2,30.985500000000002,1,0.5085422712080842
A2+B2+G1,demografica,C3,0.3775,1.345112365764183e-31,8.224047755878524e-4
A2+B2+G1,demografica,C4,13.6937,4.643092275974477e-18,0.4711230719832727
A2+B2+G1,demografica,C5,4.1377,5.162586081182761e-28,0.010451878787585744
A1+B1+G2,demografica,H0,0,5.734655253706333e-31,3.787513732194467e-4
A1+B1+G2,demografica,C1,0.6134999999999999,2.1195800553893437e-30,0.0013998990717156313
A1+B1+G2,demografica,C2,30.2001,1,0.5557083228539761
A1+B1+G2,demografica,C3,0.15650000000000003,4.933538994805061e-31,8.974400905730978e-5
A1+B1+G2,demografica,C4,14.264899999999999,1.0553762455692558e-16,0.43979897829897596
A1+B1+G2,demografica,C5,5.2985999999999995,4.5621263194836383e-26,0.0026243043930556393
A2+B1+G2,demografica,H0,0,7.702067401278158e-31,5.065576041965661e-4
A2+B1+G2,demografica,C1,0.8344,4.73423513578324e-30,0.0031136611550394797
A2+B1+G2,demografica,C2,30.072,1,0.5533775347949962
A2+B1+G2,demografica,C3,0.3774,1.1019415659047851e-30,1.9960898649414846e-4
A2+B1+G2,demografica,C4,14.1368,1.0553762455692558e-16,0.4379543447658551
A2+B1+G2,demografica,C5,5.438899999999999,8.463837296561042e-26,0.004848292693418552
A1+B2+G2,demografica,H0,0,1.8621185001455967e-30,0.0011366416088813855
A1+B2+G2,demografica,C1,0.5233,5.591776753521971e-30,0.003413233972559638
A1+B2+G2,demografica,C2,29.6886,0.9999999999999998,0.5135896171107238
A1+B2+G2,demografica,C3,0.2966000000000001,2.2118647388093686e-30,3.718560061638077e-4
A1+B2+G2,demografica,C4,13.8218,1.2353991973643602e-16,0.4757990276346383
A1+B2+G2,demografica,C5,5.157399999999999,1.070205814436e-25,0.00568962366703311
A2+B2+G2,demografica,H0,0,2.5009632772639805e-30,0.0015115912634591285
A2+B2+G2,demografica,C1,0.7442,1.2489637232936271e-29,0.007548781982010517
A2+B2+G2,demografica,C2,29.560499999999998,0.9999999999999998,0.5085422712080842
A2+B2+G2,demografica,C3,0.5175000000000001,4.940359641262917e-30,8.224047755878524e-4
A2+B2+G2,demografica,C4,13.6937,1.2353991973643703e-16,0.4711230719832727
A2+B2+G2,demografica,C5,5.2977,1.9854881809246366e-25,0.010451878787585744
A1+B1+G1,uniforme,H0,0,2.3708277395462832e-32,3.971668515890156e-4
A1+B1+G1,uniforme,C1,0.6134999999999999,9.736435697988832e-32,0.0016310714808023888
A1+B1+G1,uniforme,C2,31.6251,1,0.5297524747115165
A1+B1+G1,uniforme,C3,0.01649999999999996,2.462634730345e-32,1.568458362861003e-4
A1+B1+G1,uniforme,C4,14.264899999999999,4.363148555506774e-18,0.46118268577699684
A1+B1+G1,uniforme,C5,4.1386,3.262120503942671e-28,0.006879755342809236
A2+B1+G1,uniforme,H0,0,3.1841975217261257e-32,5.2907259235306e-4
A2+B1+G1,uniforme,C1,0.8344,2.1747032324403466e-31,0.0036133935440100418
A2+B1+G1,uniforme,C2,31.497,1,0.5254304822454904
A2+B1+G1,uniforme,C3,0.23739999999999994,5.500472528676351e-32,3.474683598552322e-4
A2+B1+G1,uniforme,C4,14.1368,4.363148555506774e-18,0.45742012082725253
A2+B1+G1,uniforme,C5,4.2789,6.052015059125217e-28,0.012659462431038663
A1+B2+G1,uniforme,H0,0,7.698391619294387e-32,0.0011809611652666208
A1+B2+G1,uniforme,C1,0.5233,2.56862082938288e-31,0.003940357412051431
A1+B2+G1,uniforme,C2,31.113599999999998,1,0.4851048498350315
A1+B2+G1,uniforme,C3,0.15660000000000002,1.1040786199020804e-31,6.439254890888378e-4
A1+B2+G1,uniforme,C4,13.8218,5.10740150357197e-18,0.49435122708653634
A1+B2+G1,uniforme,C5,3.9974,7.652441178142372e-28,0.014778679012025233
A2+B2+G1,uniforme,H0,0,1.033951100982367e-31,0.0015570032467398021
A2+B2+G1,uniforme,C1,0.7442,5.737200135493478e-31,0.008639518087143784
A2+B2+G1,uniforme,C2,30.985500000000002,1,0.4762001393776608
A2+B2+G1,uniforme,C3,0.3775,2.466039337234336e-31,0.0014118531209227558
A2+B2+G1,uniforme,C4,13.6937,5.1074015035719286e-18,0.4852767877298725
A2+B2+G1,uniforme,C5,4.1377,1.41971117232526e-27,0.026914698437660516
A1+B1+G2,uniforme,H0,0,6.308120779076972e-31,3.971668515890156e-4
A1+B1+G2,uniforme,C1,0.6134999999999999,2.5905978454758856e-30,0.0016310714808023888
A1+B1+G2,uniforme,C2,30.2001,0.9999999999999998,0.5297524747115165
A1+B1+G2,uniforme,C3,0.15650000000000003,9.044821490475946e-31,1.568458362861003e-4
A1+B1+G2,uniforme,C4,14.264899999999999,1.1609138701261822e-16,0.46118268577699684
A1+B1+G2,uniforme,C5,5.2985999999999995,1.254584737858001e-25,0.006879755342809236
A2+B1+G2,uniforme,H0,0,8.47227414140598e-31,5.2907259235306e-4
A2+B1+G2,uniforme,C1,0.8344,5.786287388179515e-30,0.0036133935440100418
A2+B1+G2,uniforme,C2,30.072,0.9999999999999998,0.5254304822454904
A2+B1+G2,uniforme,C3,0.3774,2.0202262041587732e-30,3.474683598552322e-4
A2+B1+G2,uniforme,C4,14.1368,1.1609138701261822e-16,0.45742012082725253
A2+B1+G2,uniforme,C5,5.438899999999999,2.3275552565542876e-25,0.012659462431038663
A1+B2+G2,uniforme,H0,0,2.0483303501601577e-30,0.0011809611652666208
A1+B2+G2,uniforme,C1,0.5233,6.834393809860187e-30,0.003940357412051431
A1+B2+G2,uniforme,C2,29.6886,0.9999999999999998,0.4851048498350315
A1+B2+G2,uniforme,C3,0.2966000000000001,4.0550853544838435e-30,6.439254890888378e-4
A1+B2+G2,uniforme,C4,13.8218,1.3589391171007971e-16,0.49435122708653634
A1+B2+G2,uniforme,C5,5.157399999999999,2.9430659896990013e-25,0.014778679012025233
A2+B2+G2,uniforme,H0,0,2.7510596049903805e-30,0.0015570032467398021
A2+B2+G2,uniforme,C1,0.7442,1.5265112173588776e-29,0.008639518087143784
A2+B2+G2,uniforme,C2,29.560499999999998,0.9999999999999998,0.4762001393776608
A2+B2+G2,uniforme,C3,0.5175000000000001,9.05732600898209e-30,0.0014118531209227558
A2+B2+G2,uniforme,C4,13.6937,1.3589391171008082e-16,0.4852767877298725
A2+B2+G2,uniforme,C5,5.2977,5.460092497542754e-25,0.026914698437660516
