combinacion,prior,lambda,candidato_mas_probable,posterior_max,decision
A1+B1+G1,demografica,0,C2,0.5557083228539761,indeterminacion
A1+B1+G1,demografica,0.3,C2,0.9999948900776613,identificacion positiva
A1+B1+G1,demografica,0.5,C2,0.9999999982282295,identificacion positiva
A1+B1+G1,demografica,0.7,C2,0.9999999999993856,identificacion positiva
A1+B1+G1,demografica,1,C2,1,identificacion positiva
A1+B1+G2,demografica,0,C2,0.5557083228539761,indeterminacion
A1+B1+G2,demografica,0.3,C2,0.9999863252030536,identificacion positiva
A1+B1+G2,demografica,0.5,C2,0.9999999908608036,identificacion positiva
A1+B1+G2,demografica,0.7,C2,0.9999999999938918,identificacion positiva
A1+B1+G2,demografica,1,C2,1,identificacion positiva
A1+B2+G1,demografica,0,C2,0.5135896171107238,indeterminacion
A1+B2+G1,demografica,0.3,C2,0.9999940183150872,identificacion positiva
A1+B2+G1,demografica,0.5,C2,0.999999997926005,identificacion positiva
A1+B2+G1,demografica,0.7,C2,0.9999999999992808,identificacion positiva
A1+B2+G1,demografica,1,C2,1,identificacion positiva
A1+B2+G2,demografica,0,C2,0.5135896171107238,indeterminacion
A1+B2+G2,demografica,0.3,C2,0.9999839918980653,identificacion positiva
A1+B2+G2,demografica,0.5,C2,0.9999999893018491,identificacion positiva
A1+B2+G2,demografica,0.7,C2,0.9999999999928499,identificacion positiva
A1+B2+G2,demografica,1,C2,0.9999999999999998,identificacion positiva
A2+B1+G1,demografica,0,C2,0.5533775347949962,indeterminacion
A2+B1+G1,demografica,0.3,C2,0.9999948899831117,identificacion positiva
A2+B1+G1,demografica,0.5,C2,0.9999999982282288,identificacion positiva
A2+B1+G1,demografica,0.7,C2,0.9999999999993856,identificacion positiva
A2+B1+G1,demografica,1,C2,1,identificacion positiva
A2+B1+G2,demografica,0,C2,0.5533775347949962,indeterminacion
A2+B1+G2,demografica,0.3,C2,0.999986324672438,identificacion positiva
A2+B1+G2,demografica,0.5,C2,0.9999999908607907,identificacion positiva
A2+B1+G2,demografica,0.7,C2,0.9999999999938918,identificacion positiva
A2+B1+G2,demografica,1,C2,1,identificacion positiva
A2+B2+G1,demografica,0,C2,0.5085422712080842,indeterminacion
A2+B2+G1,demografica,0.3,C2,0.99999401808853,identificacion positiva
A2+B2+G1,demografica,0.5,C2,0.9999999979260035,identificacion positiva
A2+B2+G1,demografica,0.7,C2,0.9999999999992808,identificacion positiva
A2+B2+G1,demografica,1,C2,1,identificacion positiva
A2+B2+G2,demografica,0,C2,0.5085422712080842,indeterminacion
