combinacion,prior,lambda,caso,posterior
A1+B1+G1,demografica,0,H0,3.787513732194467e-4
A1+B1+G1,demografica,0,C1,0.0013998990717156313
A1+B1+G1,demografica,0,C2,0.5557083228539761
A1+B1+G1,demografica,0,C3,8.974400905730978e-5
A1+B1+G1,demografica,0,C4,0.43979897829897596
A1+B1+G1,demografica,0,C5,0.0026243043930556393
A2+B1+G1,demografica,0,H0,5.065576041965661e-4
A2+B1+G1,demografica,0,C1,0.0031136611550394797
A2+B1+G1,demografica,0,C2,0.5533775347949962
A2+B1+G1,demografica,0,C3,1.9960898649414846e-4
A2+B1+G1,demografica,0,C4,0.4379543447658551
A2+B1+G1,demografica,0,C5,0.004848292693418552
A1+B2+G1,demografica,0,H0,0.0011366416088813855
A1+B2+G1,demografica,0,C1,0.003413233972559638
A1+B2+G1,demografica,0,C2,0.5135896171107238
A1+B2+G1,demografica,0,C3,3.718560061638077e-4
A1+B2+G1,demografica,0,C4,0.4757990276346383
A1+B2+G1,demografica,0,C5,0.00568962366703311
A2+B2+G1,demografica,0,H0,0.0015115912634591285
A2+B2+G1,demografica,0,C1,0.007548781982010517
A2+B2+G1,demografica,0,C2,0.5085422712080842
A2+B2+G1,demografica,0,C3,8.224047755878524e-4
A2+B2+G1,demografica,0,C4,0.4711230719832727
A2+B2+G1,demografica,0,C5,0.010451878787585744
A1+B1+G2,demografica,0,H0,3.787513732194467e-4
A1+B1+G2,demografica,0,C1,0.0013998990717156313
A1+B1+G2,demografica,0,C2,0.5557083228539761
A1+B1+G2,demografica,0,C3,8.974400905730978e-5
A1+B1+G2,demografica,0,C4,0.43979897829897596
A1+B1+G2,demografica,0,C5,0.0026243043930556393
A2+B1+G2,demografica,0,H0,5.065576041965661e-4
A2+B1+G2,demografica,0,C1,0.0031136611550394797
A2+B1+G2,demografica,0,C2,0.5533775347949962
A2+B1+G2,demografica,0,C3,1.9960898649414846e-4
A2+B1+G2,demografica,0,C4,0.4379543447658551
