programa,fecha,hora_inicio,hora_fin,locutor,contenido_desgrabado
Campo y Pueblo,2026-03-15,06:00,07:00,Roberto Arce,Domingo temprano. Precio del girasol se mantuvo. Lluvia para la semana que viene. Cosecha de maiz empezo en los campos del este. Buen rinde dicen.
Mañanas con Celeste,2026-03-07,08:00,10:00,Celeste Arrieta,Sábado! Hoy cocina la abuela en el club. Locro para todos. Aviso: esta noche hay peña folklorica. Empanadas y guitarra. La entrada es un alimento no perecedero.
Mañanas con Celeste,2026-03-12,08:00,10:00,Celeste Arrieta,"Jueves ya. Aviso de la muni: el chico de sistemas, Ramón, arreglo el problema del mail. Así que los tramites online vuelven a funcionar. Gracias Ramón, siempre salvando la parada."
Mañanas con Celeste,2026-03-16,08:00,10:00,Celeste Arrieta,"Lunes. Les tengo que contar algo que me preocupa. Hay un vecino que nos falta. Ramón. Ramón Salvatierra. El pibe de sistemas de la muni. No se presento a trabajar hoy. La madre no lo ve desde el domingo. Si alguien sabe algo, comuniquese con la comisaría al 2297-40-0101. Ramón, si estas escuchando, tu vieja esta preocupada. Llamala."
Mañanas con Celeste,2026-03-05,08:00,10:00,Celeste Arrieta,"Arrancamos jueves. El tiempo: sol, 25 grados. Aviso de la farmacia: Pato Robles informa que llegaron las vacunas antigripales. Pasen por San Martin 78. Después de la musica, entrevista con la directora Estela Gutiérrez."
Mañanas con Celeste,2026-03-03,08:00,10:00,Celeste Arrieta,"Buenos días La Herrumbre. Temperatura: 22 grados. Hoy cumple años Doña Susana Giménez, 72 primaveras. Felicidades vecina! Después de la tanda hablamos con el profe Aguirre sobre el taller de historia local."
Campo y Pueblo,2026-03-08,06:00,07:00,Roberto Arce,"Buen día productores. Precio del trigo estable. Soja en alza. Ojo con la helada de la semana que viene, cubran los frutales. El ingeniero Domínguez manda saludos desde el campo."
Mañanas con Celeste,2026-03-19,08:00,10:00,Celeste Arrieta,"Jueves. Seguimos pendientes de Ramón. La madre puso un pedido en redes. El comisario dice que estan trabajando. Vecinos, cualquier dato, a la comisaría. Ahora vamos con la musica."
Mañanas con Celeste,2026-03-17,08:00,10:00,Celeste Arrieta,"Martes. Tenemos al comisario Castellano en línea. Comisario, que nos puede decir de Ramón Salvatierra? CASTELLANO: Buen día Celeste. Iniciamos las actuaciones. Estamos realizando las averiguaciones correspondientes. Pedimos a los vecinos tranquilidad y que si tienen información se acerquen a la comisaría."
Mañanas con Celeste,2026-03-10,08:00,10:00,Celeste Arrieta,"Martes de arranque. Hoy llueve, 18 grados. Se programa corte de agua en sector norte para el jueves. Avisen a los vecinos. Después hablamos de los talleres de la escuela con Estela Gutiérrez."
La Tardecita Herrumbrense,2026-03-05,16:00,18:00,Hugo Martinez,Buenas tardes gente. Hoy hablamos de los caminos rurales con Don Jorge Pereyra. Dice que después de la lluvia el camino al campo de los Ferreyra quedó intransitable. La muni tiene que arreglar eso.
La Herrumbre Busca,2026-03-18,10:00,11:00,Celeste Arrieta,"Programa especial. Abrimos los teléfonos. Un oyente llama y dice: 'yo no quiero dar el nombre, pero el domingo tipo 5 de la mañana pase por la YPF y lo vi al pibe ahí adentro, en el shop, tomando un cafe. Tenía un bolso grande, como de viaje. A esa hora para el micro de larga distancia ahí en la ruta, el que va para el sur.' Dato clave vecinos. Ramón estuvo en la YPF a las 5 de la mañana con un bolso de viaje."
La Tardecita Herrumbrense,2026-03-13,16:00,18:00,Hugo Martinez,Buenas tardes. Tema del día: el puente sobre el arroyo Las Piedritas. Vecinos del sur reclaman que no avanza. La muni dice que es por cuestiones climaticas. Sera?
Mañanas con Celeste,2026-03-20,08:00,10:00,Celeste Arrieta,"Viernes. El Vigia de La Herrumbre público una nota sobre la investigacion. Nuevos datos apuntan a una salida voluntaria. Un testigo lo vio en la YPF. Se habria ido en micro. Mientras tanto, la muni sigue sin técnico de sistemas. El mail anda para atras de nuevo."
Musica de la Tierra,2026-02-25,14:00,16:00,Hugo Martinez,Saludos a Don Tito que cumple años. Familia que lo quiere mucho.
Musica de la Tierra,2026-02-27,14:00,16:00,Hugo Martinez,Aviso del veterinario Tejada: campaña de vacunación canina la semana que viene.
Mañanas con Celeste,2026-03-01,08:00,10:00,Celeste Arrieta,Reportaje al carpintero Mansilla sobre los muebles del nuevo salon comunitario.
La Tardecita Herrumbrense,2026-03-04,16:00,18:00,Hugo Martinez,Recordamos que la biblioteca cambio de horario. Ahora de 14 a 19.
La Tardecita Herrumbrense,2026-03-06,16:00,18:00,Hugo Martinez,Noticias del campo: heladas previstas para el fin de semana. Cubran cultivos.
Noticiero del Mediodia,2026-03-09,12:00,13:00,Celeste Arrieta,Folklore del Litoral en la mesa de hoy. Pongan radio y escuchen.
La Tardecita Herrumbrense,2026-03-11,16:00,18:00,Hugo Martinez,Llamado del intendente: arreglos en plaza central programados para la semana.
Noticiero del Mediodia,2026-03-13,12:00,13:00,Celeste Arrieta,Tema del día: recoleccion de residuos. Vecinos se quejan.
Campo y Pueblo,2026-03-14,06:00,07:00,Roberto Arce,Entrevista a Estela sobre los talleres extracurriculares. Inscripciones abiertas.
Campo y Pueblo,2026-03-18,06:00,07:00,Roberto Arce,Aviso de la cooperativa: corte programado de luz el martes a la mañana.
Noticiero del Mediodia,2026-03-19,12:00,13:00,Celeste Arrieta,Saludo a la familia Bordon que cumplen 40 años de casados.
Noticiero del Mediodia,2026-02-22,12:00,13:00,Celeste Arrieta,Resultado del torneo de truco: ganaron Don Jorge y Sergio.
Campo y Pueblo,2026-02-28,06:00,07:00,Roberto Arce,Recordatorio: misa de Semana Santa este domingo a las 10.
La Tardecita Herrumbrense,2026-03-02,16:00,18:00,Hugo Martinez,Hoy la cocinera del club nos cuenta como hacer el locro perfecto.
Musica de la Tierra,2026-02-23,14:00,16:00,Hugo Martinez,Saludos a Don Cesar y Norma que cumplen 50 años juntos. Hermoso.
Noche de Pueblo,2026-02-24,21:00,23:00,Hugo Martinez,Más info de la jornada de castracion canina: jueves de 9 a 13 en la sala.
Musica de la Tierra,2026-02-26,14:00,16:00,Hugo Martinez,Aviso de la cooperativa: aumento del 15% en la tarifa de luz desde abril.
Musica de la Tierra,2026-03-02,14:00,16:00,Hugo Martinez,Reportaje a la profe Petruzzi sobre el curso de ingles.
Musica de la Tierra,2026-03-03,14:00,16:00,Hugo Martinez,"Hoy entrevista a Pedro Casas, jubilado de la YPF, 35 años de servicio."
Noticiero del Mediodia,2026-03-05,12:00,13:00,Celeste Arrieta,Tema del día: contenedores de basura. Vecinos se quejan del estado.
Mañanas con Celeste,2026-03-07,08:00,10:00,Celeste Arrieta,"Llegan los precios del trigo. Estable, soja firme."
Mañanas con Celeste,2026-03-09,08:00,10:00,Celeste Arrieta,"Cumple de Brenda Soria, 17 años. Saludo de la familia y la escuela."
Campo y Pueblo,2026-03-10,06:00,07:00,Roberto Arce,Nuevo horario de la biblioteca: martes a sábado de 14 a 19.
Noche de Pueblo,2026-03-11,21:00,23:00,Hugo Martinez,"Programa de hoy: musica criolla y entrevista a Hugo Pereyra, tractorista."
Musica de la Tierra,2026-03-12,14:00,16:00,Hugo Martinez,Aviso de la municipalidad: mesa de entradas cerrada el viernes a la tarde.
Noche de Pueblo,2026-03-14,21:00,23:00,Hugo Martinez,Recordamos: bingo familiar a beneficio del centro de jubilados el sábado.
Mañanas con Celeste,2026-03-19,08:00,10:00,Celeste Arrieta,Saludos a la familia Mansilla por la inauguracion de la mueblera renovada.
Mañanas con Celeste,2026-03-21,08:00,10:00,Celeste Arrieta,Hoy nos visita Walter Giménez del taller. Habla de las maquinas.
