combinacion,hipotesis,posterior_uniforme,posterior_demografico
A1+B1+G1,H0,2.3659196974857515e-32,2.150836088623409e-32
A1+B1+G1,C1,9.705099672454859e-32,7.940536095644885e-32
A1+B1+G1,C2,1,1
A1+B1+G1,C3,2.4547089156850337e-32,1.3389321358281888e-32
A1+B1+G1,C4,4.355118736855679e-18,3.959198851686978e-18
A1+B1+G1,C5,3.2583670100200736e-28,1.1848607309163898e-28
A1+B1+G2,H0,6.2230028516916e-31,5.657275319719634e-31
A1+B1+G2,C1,2.5527013026612463e-30,2.0885737930864748e-30
A1+B1+G2,C2,0.9999999999999998,1
A1+B1+G2,C3,8.91250938133744e-31,4.861368753456784e-31
A1+B1+G2,C4,1.145512941445538e-16,1.041375401314125e-16
A1+B1+G2,C5,1.2387965865303688e-25,4.5047148601104307e-26
A1+B2+G1,H0,7.691304402866082e-32,6.992094911696434e-32
A1+B2+G1,C1,2.564484036517711e-31,2.098214211696309e-31
A1+B2+G1,C2,1,1
A1+B2+G1,C3,1.10153930954141e-31,6.008396233862234e-32
A1+B2+G1,C4,5.105049999754044e-18,4.6409545452309455e-18
A1+B2+G1,C5,7.655966069112569e-28,2.7839876614954785e-28
A1+B2+G2,H0,2.0230191786782757e-30,1.8391083442529766e-30
A1+B2+G2,C1,6.745280276979227e-30,5.518865681164823e-30
A1+B2+G2,C2,0.9999999999999998,0.9999999999999998
A1+B2+G2,C3,3.999447497610977e-30,2.1815168168787143e-30
A1+B2+G2,C4,1.342764961137864e-16,1.220695419216239e-16
A1+B2+G2,C5,2.910717118066596e-25,1.0584425883878612e-25
A2+B1+G1,H0,3.1841975217261257e-32,2.894725019751021e-32
A2+B1+G1,C1,2.1727011788637434e-31,1.7776646008885172e-31
A2+B1+G1,C2,1,1
A2+B1+G1,C3,5.49540873857627e-32,2.997495675587032e-32
A2+B1+G1,C4,4.355118736855679e-18,3.959198851686978e-18
A2+B1+G1,C5,6.053408747539136e-28,2.201239544559685e-28
A2+B1+G2,H0,8.375292821268858e-31,7.613902564789868e-31
A2+B1+G2,C1,5.714786366718688e-30,4.675734300042564e-30
A2+B1+G2,C2,0.9999999999999998,1
A2+B1+G2,C3,1.9952623149688827e-30,1.0883248990739358e-30
A2+B1+G2,C4,1.145512941445538e-16,1.041375401314125e-16
A2+B1+G2,C5,2.301441817408518e-25,8.368879336030972e-26
A2+B2+G1,H0,1.035142166679345e-31,9.410383333448585e-32
A2+B2+G1,C1,5.74116462207328e-31,4.697316508969048e-31
A2+B2+G1,C2,1,1
A2+B2+G1,C3,2.466039337234336e-31,1.345112365764183e-31
A2+B2+G1,C4,5.105049999754044e-18,4.640954545230983e-18
A2+B2+G1,C5,1.4223287871228155e-27,5.172104680446641e-28
A2+B2+G2,H0,2.722701308077926e-30,2.475183007343567e-30
A2+B2+G2,C1,1.5100801541641553e-29,1.2355201261343088e-29
A2+B2+G2,C2,0.9999999999999998,0.9999999999999998
A2+B2+G2,C3,8.953647655495973e-30,4.8838078120887104e-30
A2+B2+G2,C4,1.3427649611378694e-16,1.220695419216244e-16
A2+B2+G2,C5,5.407543229455859e-25,1.9663793561657496e-25
