lambda,prior,hipotesis,posterior
0,demografico,H0,0.0015136211694352032
0,demografico,C1,0.007555438982215674
0,demografico,C2,0.5086392594709316
0,demografico,C3,8.225616231402724e-4
0,demografico,C4,0.4709959721121041
0,demografico,C5,0.010473146642173227
0,uniforme,H0,0.001559055708903388
0,uniforme,C1,0.008646923840916426
0,uniforme,C2,0.47627922018081426
0,uniforme,C3,0.0014120875821702523
0,uniforme,C4,0.485133911985308
0,uniforme,C5,0.026968800701887778
0.3,demografico,H0,8.386962826855104e-12
0.3,demografico,C1,4.1864627136564075e-11
0.3,demografico,C2,0.9999940208415974
0.3,demografico,C3,6.091944926608846e-12
0.3,demografico,C4,5.978671864682138e-6
0.3,demografico,C5,4.3019435713902067e-10
0.3,uniforme,H0,9.225653586739222e-12
0.3,uniforme,C1,5.1167846980479456e-11
0.3,uniforme,C2,0.9999934222102898
0.3,uniforme,C3,1.1168559012889822e-11
0.3,uniforme,C4,6.5765351142046454e-6
0.3,uniforme,C5,1.1830337739265937e-9
0.5,demografico,H0,1.6734290887754182e-17
0.5,demografico,C1,8.353141213019161e-17
0.5,demografico,C2,0.9999999979269585
0.5,demografico,C3,1.4748863773655e-17
0.5,demografico,C4,2.073038242975614e-9
0.5,demografico,C5,3.2633774277830534e-15
0.5,uniforme,H0,1.8407719972713514e-17
0.5,uniforme,C1,1.0209394813795802e-16
0.5,uniforme,C2,0.9999999977196488
0.5,uniforme,C3,2.7039583579428824e-17
0.5,uniforme,C4,2.28034206680044e-9
0.5,uniforme,C5,8.97428792454298e-15
0.7,demografico,H0,3.33893000452565e-23
0.7,demografico,C1,1.6666707908489393e-22
0.7,demografico,C2,0.9999999999992812
0.7,demografico,C3,3.570742767637135e-23
0.7,demografico,C4,7.18798752726596e-13
0.7,demografico,C5,2.475524940702745e-20
0.7,uniforme,H0,3.6728230049779536e-23
0.7,uniforme,C1,2.0370420777041126e-22
0.7,uniforme,C2,0.9999999999992093
0.7,uniforme,C3,6.546361740667612e-23
0.7,uniforme,C4,7.906786279991993e-13
0.7,uniforme,C5,6.807693586932062e-20
1,demografico,H0,9.410383333448585e-32
1,demografico,C1,4.697316508969048e-31
1,demografico,C2,1
1,demografico,C3,1.345112365764183e-31
1,demografico,C4,4.640954545230983e-18
1,demografico,C5,5.172104680446641e-28
1,uniforme,H0,1.035142166679345e-31
1,uniforme,C1,5.74116462207328e-31
1,uniforme,C2,1
1,uniforme,C3,2.466039337234336e-31
1,uniforme,C4,5.105049999754044e-18
1,uniforme,C5,1.4223287871228155e-27
