persona,locus,alelos_madre,alelos_persona,comparte_alelo
ID0383,D3S1358,15/19,16/19,TRUE
ID0383,VWA,17/14,17/17,TRUE
ID0383,D16S539,12/12,11/12,TRUE
ID0383,D2S1338,20/21,28/19,FALSE
ID0383,D8S1179,11/13,9/11,TRUE
ID0383,D21S11,24/24,30/27,FALSE
ID0383,D18S51,10/21,22/10,TRUE
ID0383,D19S433,17/10,9/10,TRUE
ID0383,TH01,7/5,10/10,FALSE
ID0383,FGA,29/30,21/21,FALSE
ID0383,CSF1PO,12/15,8/8,FALSE
ID0383,D13S317,9/9,13/13,FALSE
ID0383,D7S820,14/12,12/11,TRUE
ID0383,D5S818,12/8,15/13,FALSE
ID0383,TPOX,13/6,9/10,FALSE
ID0383,D1S1656,19/20,10/13,FALSE
ID0383,D2S441,12/8,16/10,FALSE
ID0383,D10S1248,19/18,17/9,FALSE
ID0383,D12S391,16/23,23/23,TRUE
ID0383,D22S1045,12/11,9/8,FALSE
ID0384,D3S1358,15/19,19/16,TRUE
ID0384,VWA,17/14,20/18,FALSE
ID0384,D16S539,12/12,14/12,TRUE
ID0384,D2S1338,20/21,17/16,FALSE
ID0384,D8S1179,11/13,15/11,TRUE
ID0384,D21S11,24/24,38/29,FALSE
ID0384,D18S51,10/21,21/17,TRUE
ID0384,D19S433,17/10,9/9,FALSE
ID0384,TH01,7/5,5/9,TRUE
ID0384,FGA,29/30,27/23,FALSE
ID0384,CSF1PO,12/15,8/12,TRUE
ID0384,D13S317,9/9,13/11,FALSE
ID0384,D7S820,14/12,11/8,FALSE
ID0384,D5S818,12/8,9/9,FALSE
ID0384,TPOX,13/6,10/11,FALSE
ID0384,D1S1656,19/20,10/20,TRUE
ID0384,D2S441,12/8,12/10,TRUE
ID0384,D10S1248,19/18,9/18,TRUE
ID0384,D12S391,16/23,17/23,TRUE
ID0384,D22S1045,12/11,8/10,FALSE
