combinacion,convencion_antropometria,convencion_osint,convencion_genetica,candidato,log10_LR_total,posterior_completo,posterior_sin_genetica
A1+B1+G1,A1,B1,G1,C1,0.6135,0.0,0.00163
A1+B1+G1,A1,B1,G1,C2,31.6251,1.0,0.52975
A1+B1+G1,A1,B1,G1,C3,0.0165,0.0,0.00016
A1+B1+G1,A1,B1,G1,C4,14.2649,0.0,0.46118
A1+B1+G1,A1,B1,G1,C5,4.1386,0.0,0.00688
A1+B1+G1,A1,B1,G1,H0,0.0,0.0,0.0004
A1+B1+G2,A1,B1,G2,C1,0.6135,0.0,0.00163
A1+B1+G2,A1,B1,G2,C2,30.2001,1.0,0.52975
A1+B1+G2,A1,B1,G2,C3,0.1565,0.0,0.00016
A1+B1+G2,A1,B1,G2,C4,14.2649,0.0,0.46118
A1+B1+G2,A1,B1,G2,C5,5.2986,0.0,0.00688
A1+B1+G2,A1,B1,G2,H0,0.0,0.0,0.0004
A1+B2+G1,A1,B2,G1,C1,0.5233,0.0,0.00394
A1+B2+G1,A1,B2,G1,C2,31.1136,1.0,0.4851
A1+B2+G1,A1,B2,G1,C3,0.1566,0.0,0.00064
A1+B2+G1,A1,B2,G1,C4,13.8218,0.0,0.49435
A1+B2+G1,A1,B2,G1,C5,3.9974,0.0,0.01478
A1+B2+G1,A1,B2,G1,H0,0.0,0.0,0.00118
A1+B2+G2,A1,B2,G2,C1,0.5233,0.0,0.00394
A1+B2+G2,A1,B2,G2,C2,29.6886,1.0,0.4851
A1+B2+G2,A1,B2,G2,C3,0.2966,0.0,0.00064
A1+B2+G2,A1,B2,G2,C4,13.8218,0.0,0.49435
A1+B2+G2,A1,B2,G2,C5,5.1574,0.0,0.01478
A1+B2+G2,A1,B2,G2,H0,0.0,0.0,0.00118
A2+B1+G1,A2,B1,G1,C1,0.8344,0.0,0.00361
A2+B1+G1,A2,B1,G1,C2,31.497,1.0,0.52543
A2+B1+G1,A2,B1,G1,C3,0.2374,0.0,0.00035
A2+B1+G1,A2,B1,G1,C4,14.1368,0.0,0.45742
A2+B1+G1,A2,B1,G1,C5,4.2789,0.0,0.01266
A2+B1+G1,A2,B1,G1,H0,0.0,0.0,0.00053
A2+B1+G2,A2,B1,G2,C1,0.8344,0.0,0.00361
A2+B1+G2,A2,B1,G2,C2,30.072,1.0,0.52543
A2+B1+G2,A2,B1,G2,C3,0.3774,0.0,0.00035
A2+B1+G2,A2,B1,G2,C4,14.1368,0.0,0.45742
A2+B1+G2,A2,B1,G2,C5,5.4389,0.0,0.01266
A2+B1+G2,A2,B1,G2,H0,0.0,0.0,0.00053
A2+B2+G1,A2,B2,G1,C1,0.7442,0.0,0.00864
A2+B2+G1,A2,B2,G1,C2,30.9855,1.0,0.4762
A2+B2+G1,A2,B2,G1,C3,0.3775,0.0,0.00141
A2+B2+G1,A2,B2,G1,C4,13.6937,0.0,0.48528
A2+B2+G1,A2,B2,G1,C5,4.1377,0.0,0.02691
A2+B2+G1,A2,B2,G1,H0,0.0,0.0,0.00156
A2+B2+G2,A2,B2,G2,C1,0.7442,0.0,0.00864
A2+B2+G2,A2,B2,G2,C2,29.5605,1.0,0.4762
A2+B2+G2,A2,B2,G2,C3,0.5175,0.0,0.00141
A2+B2+G2,A2,B2,G2,C4,13.6937,0.0,0.48528
A2+B2+G2,A2,B2,G2,C5,5.2977,0.0,0.02691
A2+B2+G2,A2,B2,G2,H0,0.0,0.0,0.00156
